"Идентификационный номер в Национальном реестре специалистов в области строительства: С-63-0611039. Вид осуществляемых работ: организация выполнения работ по строительству, реконструкции, капитальному ремонту объектов капитального строительства.

За 14 лет трудовой деятельности мною пройден путь от ученика монтажника наружных трубопроводов до руководителя в сфере строительства и недвижимости одного из крупных и динамично развивающихся предприятий Самарской области. Добиваюсь результата прежде всего благодаря своему трудолюбию и старанию. Обладаю креативным мышлением, аналитическими способностями, высокой работоспособностью, умением налаживать контакты и связи. Имею широкий практический опыт в строительстве, обладаю навыками планирования и организации рабочего времени, обладаю отличным видением систем построения коммуникации и высокой степенью самомотивации, дисциплинирован. Не курю, веду здоровый образ жизни. Женат, есть ребенок.";Начальник отдела капитального строительства, Руководитель проекта, Ведущий инженер, аудитор
Интересы: музыка, продвигать и отрываться на концертах и фестивалях, йога, физкультура, психотерапия, контактная импровизация, бодиворк, обниматься, пешие прогулки, волонтерство;SMM/PR-специалист / Руководитель проекта
Целеустремленность, коммуникабельность, желание работать в сфере энергетики, готовность и желание переехать в другой город;Инженер
Люблю много и долго общаться с разными людьми, всегда могу найти общий язык с человеком, прийти к консенсусу;Customer care support, менеджер проектов, руководитель отдела
"Портфолио
https://instagram.com/alex_krazhau
https://www.youtube.com/c/ALEXKFILMS
https://www.behance.net/alex_krazhau";Видеооператор / Фотограф
Интересуюсь DevOps-инструментами: Docker, Kubernetes (Helm, ArgoCD, Rancher k3s/k3d), Ansible, Elasticsearch, Kibana и т. д. Хочется развиваться в сфере DevOps;Системный администратор Linux / DevOps Engineer
"В прошлом- высотный телемонтажник (ИП), затем- специалист по ремонту ПК (железо). ПРОФЕССИОНАЛЬНЫЙ ПЕШИЙ КУРЬЕР-СПЕЦИАЛИСТ (АХО, документооборот, почтовый отдел, обслуживание оргтехники, заправка картриджей и т.п.)Для своих лет двигаюсь быстро, работаю вдумчиво. Умею ладить с людьми, работать с документами и материалкой. Живу в 30 минутах езды от метро ""Котельники"", жил. проблем нет. Всегда на связи (смартфон свежей модели). Есть медкнижка. Свободно ориентируюсь в любой местности, готовлю маршрутную логистику (яндекс-карты, 2ГиС), не пасую перед решаемыми проблемными ситуациями. Окончил онлайн-курсы ESET по информационной безопасности. За 6 лет работы курьером имею повышение по службе до специалиста, благодарность (официальную, с записью в трудовую книжку. Сейчас работаю в компании Гемотест 2/2, хочу взять ещё день в другой фирме на подмену основного сотрудника.
Зарплату в сумме ""после испытательного срока"", ""после подачи документов"" и прочий лохотрон просьба не предлагать- вычисляю сразу. Если Вас заинтересовало мое резюме- свяжитесь со мной, пожалуйста, по телефону или электронке, ""роботам"" не отвечаю. Развоз еды просьба не предлагать, платным кадровым агентствам- не беспокоить.Очень надеюсь на честное, многолетнее, взаимовыгодное сотрудничество.С уважением, Станислав Махов.";Сотрудник на подмену
Качества-исполнительность, аккуратность,организованность, добросовестность, неконфликтность, дисциплинированность, вежливость, аналитические способности, стремление к повышению профессионального уровня, умение работать в команде.;Инженер- химик
"Владение пакетом программ microsoft office на уровне опытного пользователя.
Стрессоустойчивый, готов работать в режиме многозадачности, деловая переписка и проведение переговоров на уровне первых лиц компаний";руководитель направления/коммерческий директор
;Конструктор (Проектировщик, Инженер-rонструктор)
